Date;Ecopetrol;Retorno Ecopetrol;Colcap;Retorno Colcap;TES 5y (anual);TES 5y (semanal);rECOP - rf;rCOLCAP - rf
4-abr-10;2,725.00;0.93%;1,468.95;1.97%;7.34%;0.14%;0.79%;1.83%
11-abr-10;2,690.00;-1.28%;1,463.27;-0.39%;7.32%;0.14%;-1.42%;-0.52%
18-abr-10;2,780.00;3.35%;1,488.05;1.69%;7.32%;0.14%;3.21%;1.56%
25-abr-10;2,765.00;-0.54%;1,467.26;-1.40%;7.37%;0.14%;-0.68%;-1.53%
2-may-10;2,670.00;-3.44%;1,412.80;-3.71%;7.17%;0.13%;-3.57%;-3.84%
9-may-10;2,740.00;2.62%;1,444.27;2.23%;7.18%;0.13%;2.49%;2.09%
16-may-10;2,630.00;-4.01%;1,397.39;-3.25%;7.15%;0.13%;-4.14%;-3.38%
23-may-10;2,710.00;3.04%;1,446.48;3.51%;7.10%;0.13%;2.91%;3.38%
30-may-10;2,690.00;-0.74%;1,438.30;-0.57%;6.93%;0.13%;-0.87%;-0.69%
6-jun-10;2,710.00;0.74%;1,448.08;0.68%;6.90%;0.13%;0.61%;0.55%
13-jun-10;2,765.00;2.03%;1,472.41;1.68%;6.92%;0.13%;1.90%;1.55%
20-jun-10;2,775.00;0.36%;1,475.04;0.18%;6.91%;0.13%;0.23%;0.05%
27-jun-10;2,725.00;-1.80%;1,455.04;-1.36%;7.37%;0.14%;-1.94%;-1.49%
4-jul-10;2,825.00;3.67%;1,478.49;1.61%;7.46%;0.14%;3.53%;1.47%
11-jul-10;2,990.00;5.84%;1,526.67;3.26%;7.63%;0.14%;5.70%;3.12%
18-jul-10;3,085.00;3.18%;1,569.86;2.83%;7.68%;0.14%;3.04%;2.69%
25-jul-10;3,105.00;0.65%;1,571.62;0.11%;7.73%;0.14%;0.51%;-0.03%
1-ago-10;3,365.00;8.37%;1,580.41;0.56%;7.80%;0.14%;8.23%;0.41%
8-ago-10;3,320.00;-1.34%;1,567.78;-0.80%;7.89%;0.15%;-1.49%;-0.95%
15-ago-10;3,300.00;-0.60%;1,585.60;1.14%;7.89%;0.15%;-0.75%;0.99%
22-ago-10;3,435.00;4.09%;1,639.89;3.42%;7.70%;0.14%;3.95%;3.28%
29-ago-10;3,500.00;1.89%;1,687.24;2.89%;7.65%;0.14%;1.75%;2.75%
5-sep-10;3,690.00;5.43%;1,699.91;0.75%;7.85%;0.15%;5.28%;0.61%
12-sep-10;3,530.00;-4.34%;1,691.24;-0.51%;7.66%;0.14%;-4.48%;-0.65%
19-sep-10;3,585.00;1.56%;1,697.26;0.36%;7.54%;0.14%;1.42%;0.22%
26-sep-10;3,725.00;3.91%;1,766.79;4.10%;7.35%;0.14%;3.77%;3.96%
3-oct-10;4,055.00;8.86%;1,826.38;3.37%;7.25%;0.13%;8.73%;3.24%
10-oct-10;4,140.00;2.10%;1,833.59;0.39%;7.41%;0.14%;1.96%;0.26%
17-oct-10;4,340.00;4.83%;1,906.66;3.99%;7.23%;0.13%;4.70%;3.85%
24-oct-10;4,410.00;1.61%;1,901.83;-0.25%;7.22%;0.13%;1.48%;-0.39%
31-oct-10;4,630.00;4.99%;1,940.38;2.03%;7.21%;0.13%;4.86%;1.89%
7-nov-10;4,145.00;-10.48%;1,795.09;-7.49%;7.17%;0.13%;-10.61%;-7.62%
14-nov-10;4,090.00;-1.33%;1,778.83;-0.91%;7.10%;0.13%;-1.46%;-1.04%
21-nov-10;3,935.00;-3.79%;1,770.59;-0.46%;6.93%;0.13%;-3.92%;-0.59%
28-nov-10;4,020.00;2.16%;1,830.26;3.37%;6.81%;0.13%;2.03%;3.24%
5-dic-10;4,070.00;1.24%;1,830.86;0.03%;6.79%;0.13%;1.11%;-0.09%
12-dic-10;4,020.00;-1.23%;1,823.10;-0.42%;6.93%;0.13%;-1.36%;-0.55%
19-dic-10;4,105.00;2.11%;1,853.24;1.65%;6.79%;0.13%;1.98%;1.53%
26-dic-10;4,100.00;-0.12%;1,823.70;-1.59%;6.84%;0.13%;-0.25%;-1.72%
2-ene-11;3,890.00;-5.12%;1,781.71;-2.30%;6.84%;0.13%;-5.25%;-2.43%
9-ene-11;4,015.00;3.21%;1,796.05;0.80%;6.65%;0.12%;3.09%;0.68%
16-ene-11;3,925.00;-2.24%;1,756.48;-2.20%;6.73%;0.13%;-2.37%;-2.33%
23-ene-11;3,965.00;1.02%;1,768.13;0.66%;6.49%;0.12%;0.90%;0.54%
30-ene-11;3,915.00;-1.26%;1,709.06;-3.34%;6.42%;0.12%;-1.38%;-3.46%
6-feb-11;3,900.00;-0.38%;1,694.51;-0.85%;6.39%;0.12%;-0.50%;-0.97%
13-feb-11;3,750.00;-3.85%;1,644.66;-2.94%;6.26%;0.12%;-3.97%;-3.06%
20-feb-11;3,955.00;5.47%;1,713.40;4.18%;6.12%;0.11%;5.36%;4.07%
27-feb-11;4,060.00;2.65%;1,788.14;4.36%;6.24%;0.12%;2.53%;4.25%
6-mar-11;3,895.00;-4.06%;1,699.01;-4.98%;6.64%;0.12%;-4.18%;-5.11%
13-mar-11;3,825.00;-1.80%;1,739.16;2.36%;6.52%;0.12%;-1.92%;2.24%
20-mar-11;3,810.00;-0.39%;1,727.79;-0.65%;6.57%;0.12%;-0.51%;-0.78%
27-mar-11;3,865.00;1.44%;1,708.59;-1.11%;6.53%;0.12%;1.32%;-1.23%
3-abr-11;3,765.00;-2.59%;1,708.66;0.00%;6.62%;0.12%;-2.71%;-0.12%
10-abr-11;3,670.00;-2.52%;1,670.18;-2.25%;6.63%;0.12%;-2.64%;-2.38%
17-abr-11;3,730.00;1.63%;1,691.73;1.29%;6.70%;0.12%;1.51%;1.17%
24-abr-11;3,800.00;1.88%;1,700.68;0.53%;6.70%;0.12%;1.76%;0.40%
1-may-11;3,760.00;-1.05%;1,652.88;-2.81%;6.84%;0.13%;-1.18%;-2.94%
8-may-11;3,870.00;2.93%;1,706.76;3.26%;6.79%;0.13%;2.80%;3.13%
15-may-11;3,940.00;1.81%;1,710.50;0.22%;6.71%;0.13%;1.68%;0.09%
22-may-11;3,950.00;0.25%;1,732.02;1.26%;6.74%;0.13%;0.12%;1.13%
29-may-11;4,015.00;1.65%;1,753.31;1.23%;6.71%;0.12%;1.53%;1.10%
5-jun-11;4,000.00;-0.37%;1,751.77;-0.09%;6.79%;0.13%;-0.50%;-0.21%
12-jun-11;3,815.00;-4.63%;1,702.44;-2.82%;6.80%;0.13%;-4.76%;-2.94%
19-jun-11;3,810.00;-0.13%;1,710.15;0.45%;6.71%;0.13%;-0.26%;0.33%
